Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Downloads\IMG_20190413_145705.jpg", 0,1057.08,439.115,1,0,2,772,17,74,14,175.972,178.404,168.504,15.6549,15.0263,13.1391, "2019-04-13 [15:56:56]: no comment"
"Z:\Downloads\IMG_20190413_145705.jpg", 1,375,2379.5,1,0,1,727,16,108,6,140.823,145.019,140.338,14.2109,12.7219,11.3379, "2019-04-13 [15:56:56]: no comment"
"Z:\Downloads\IMG_20190413_145705.jpg", 1,1561,1084,1,0,1,702,16,150,11,159.638,168.248,163.678,18.5754,14.8691,13.7719, "2019-04-13 [15:56:56]: no comment"
"Z:\Downloads\IMG_20190413_145705.jpg", 1,1114,393,1,0,1,821,17,72,18,186.074,188.44,177.521,18.6568,17.2673,13.9727, "2019-04-13 [15:56:56]: no comment"
"Z:\Downloads\IMG_20190413_145705.jpg", 1,937,341,1,0,1,834,17,80,17,166.094,169.908,158.025,15.7718,14.5119,13.1899, "2019-04-13 [15:56:56]: no comment"
