Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,377,1184,0,0,2,92,7,0,0,143.185,143.185,143.185,7.33988,7.33988,7.33988, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,994,1166,0,0,2,130,7,0,0,179.692,179.692,179.692,5.67702,5.67702,5.67702, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,355.5,1127,0,0,2,87,7,0,0,111.356,111.356,111.356,8.30293,8.30293,8.30293, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,379,1114,0,0,2,89,7,0,0,121.629,121.629,121.629,9.57666,9.57666,9.57666, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,392,1110,0,0,2,59,6,0,0,125.644,125.644,125.644,9.81402,9.81402,9.81402, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,969.426,1095.69,0,0,2,125,8,0,0,2.8,2.8,2.8,4.92122,4.92122,4.92122, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,958.382,1089.53,0,0,2,176,9,0,0,2.23295,2.23295,2.23295,4.00326,4.00326,4.00326, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,522,1041.5,0,0,6,54,6,0,0,248.87,248.87,248.87,2.21787,2.21787,2.21787, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,906.118,1039.47,0,0,2,134,7,284,57,9.76866,7.33582,10.8657,14.331,13.8858,16.0277, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,696,1037.5,0,0,3,89,6,0,0,54.2921,54.2921,54.2921,35.1626,35.1626,35.1626, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,893.231,1020.85,0,0,2,137,8,0,0,252.109,252.358,252.394,4.44228,3.90918,4.08838, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,903,1014,0,0,2,89,6,240,23,248.607,249.135,250.292,7.50604,7.60301,6.27279, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,599.19,989.224,0,0,4,62,6,0,0,112.242,112.242,112.242,5.03087,5.03087,5.03087, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,405.55,968.35,0,0,2,68,6,0,0,142.441,142.441,142.441,6.24512,6.24512,6.24512, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,449.986,967.081,0,0,2,67,6,0,0,140.343,140.343,140.343,6.03288,6.03288,6.03288, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,466.058,957.789,0,0,2,79,6,0,0,136.646,136.646,136.646,5.36916,5.36916,5.36916, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,36.4846,956.723,0,0,5,162,9,0,0,229.648,229.648,229.648,27.8633,27.8633,27.8633, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,18,954.5,0,0,3,115,6,0,0,203.026,203.026,203.026,31.0899,31.0899,31.0899, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,382.4,958.2,0,0,2,89,6,0,0,137.663,137.663,137.663,5.87125,5.87125,5.87125, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,395.5,951,0,0,2,76,6,0,0,146.211,146.211,146.211,5.77746,5.77746,5.77746, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,1065.18,953.054,0,0,2,136,7,0,0,224.757,224.757,224.757,17.5007,17.5007,17.5007, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,1064,941.5,0,0,2,166,8,0,0,215.337,215.337,215.337,20.041,20.041,20.041, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,753.853,948.912,0,0,2,89,6,0,0,94.2697,94.2697,94.2697,13.0633,13.0633,13.0633, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,598,942.5,0,0,2,89,6,0,0,130.225,130.225,130.225,5.12924,5.12924,5.12924, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,26.5,941,0,0,2,89,6,0,0,23.4494,23.4494,23.4494,17.5271,17.5271,17.5271, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,177.25,938.75,0,0,2,76,6,0,0,143.934,143.934,143.934,4.14699,4.14699,4.14699, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,167.25,931.75,0,0,2,115,7,0,0,143.243,143.243,143.243,5.38494,5.38494,5.38494, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,144.8,923.6,0,0,2,140,7,0,0,144.05,144.05,144.05,4.91759,4.91759,4.91759, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,1042.2,901.6,0,0,3,81,6,0,0,254.037,254.247,253.531,2.11604,2.04858,3.12037, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,435.06,901.42,0,0,3,81,6,0,0,138.617,138.617,138.617,6.1149,6.1149,6.1149, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,38,907,0,0,3,107,6,0,0,237.748,238.037,237.935,16.5113,16.6205,16.6093, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,41,896,0,0,3,87,6,0,0,253.276,253.276,253.276,3.21639,3.21639,3.21639, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,618,890,0,0,2,134,7,0,0,157.948,157.948,157.948,2.94444,2.94444,2.94444, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,687.794,870.324,0,0,3,89,6,0,0,158.202,158.202,158.202,2.47015,2.47015,2.47015, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,889.235,860.941,0,0,2,96,7,0,0,187.135,187.135,187.135,2.93445,2.93445,2.93445, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,447,853.5,0,0,2,111,6,0,0,115.793,115.793,115.793,8.1144,8.1144,8.1144, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,639.754,846.031,0,0,2,131,7,316,16,69.1985,60.8473,67.0076,50.709,52.4269,47.3733, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,192.269,833.846,0,0,2,107,8,0,0,193.346,193.449,193.131,17.7103,17.9536,17.9954, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,160.3,832.6,0,0,3,82,6,220,45,6.96341,8.12195,9.84146,10.706,10.4358,13.4787, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,167.149,824.892,0,0,3,85,7,0,0,8.03529,7.83529,7.69412,11.369,11.6338,10.915, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,184.69,794.83,0,0,2,89,7,0,0,180.135,180.303,179.629,9.78864,10.9847,9.90446, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,197.588,790.853,0,0,2,95,7,0,0,198.568,198.558,198.537,10.2152,10.2403,10.2938, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,636,748,0,0,2,58,6,0,0,157.224,157.224,157.224,2.16031,2.16031,2.16031, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,366.9,738.7,1,0,2,69,6,0,0,124.493,124.493,124.493,7.98367,7.98367,7.98367, "2019-04-14 [4:16:52 PM]: no comment"
