Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,925,1333.5,1,0,2,113,6,46,112,200.496,179.504,114.425,19.7107,13.0948,14.6834, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,164.5,1307,1,0,4,131,8,50,193,240.824,226.679,153.359,19.5322,19.2641,23.6537, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,174.25,1299.75,1,0,4,26,4,74,85,204.346,213.731,173.423,4.77178,13.6204,6.01669, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,938,1304.5,1,0,3,47,5,42,177,239.617,220.362,171.66,14.9902,11.3973,17.6711, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,928,1305,1,0,3,86,6,54,161,234.872,228.593,166.07,18.4661,12.4449,19.5013, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,270,1301,1,0,2,27,4,96,24,25.5926,29.2963,23.6296,2.22502,2.21151,1.90873, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,440,1293,1,0,2,179,9,192,118,121.525,188.542,206.38,6.17009,35.1729,25.9652, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,922.5,1282,1,0,2,86,6,168,141,161.36,228.419,214.802,24.3208,14.9355,10.4288, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,610.5,1257,1,0,2,49,5,190,158,97.7959,197.918,218.143,3.76257,12.9571,14.8313, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,605,1251,1,0,2,24,4,186,156,94.1667,203,216.417,3.0548,10.083,10.1466, "2020-03-25 [18:13:13]: no comment"
