Sample name,Mean Ct,Lib,dilution,Concentration (pM),Fragment size,new name,Adjusted Concentration (pM),Average Undiluted Concentration
Lib1-1000,10.76,Lib1,1000,1831369.3008087038,563,s531-1000,1297879.3240848135,1297.8793240848136
Lib2-1000,11.24,Lib2,1000,1311080.2378602962,563,s531-1000,929153.9025928127,929.1539025928126
Lib3-1000,10.94,Lib3,1000,1615644.9700513599,563,s531-1000,1144996.9161137103,1144.9969161137103
Lib4-100,8.51,Lib4,100,877305.5808087077,563,s531-100,621740.6689808748,608.3989775263169
Lib4-1000,11.88,Lib4,1000,839654.0615999119,563,s531-1000,595057.286071759,608.3989775263169
